Corporation,corporation_kn,corporation_id,ac,ac_kn,ac_no,Assembly,ward_id,ward_name,ward_name_kn,TOT_P,TOT_M,TOT_F,SC_P,SC_M,SC_F,ST_P,ST_M,ST_F,RO_Code,RO_Division,ARO_Code,ARO_ Sub Division,zone,zone_name,Reservation,parks,toilets,lakes,Top Concern,2nd Concern,3rd Concern
Central,ಕೇಂದ್ರ,1,Shivajinagar,ಶಿವಾಜಿನಗರ,162,162 - Shivajinagar,1,1 - Ramaswamy Palya,ರಾಮಸ್ವಾಮಿ ಪಾಳ್ಯ,26124,13164,12960,3426,1697,1729,235,127,107,7,RO- Shivajinagar,23,ARO- Shivajinagar,Zone2,Gandhinagara,General (Women),2,2,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
Central,ಕೇಂದ್ರ,1,Shivajinagar,ಶಿವಾಜಿನಗರ,162,162 - Shivajinagar,2,2 - Jayamahal,ಜಯಮಹಲ್,25834,12803,12981,7101,3525,3575,243,133,111,7,RO- Shivajinagar,23,ARO- Shivajinagar,Zone2,Gandhinagara,Scheduled Caste,6,2,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
Central,ಕೇಂದ್ರ,1,Shivajinagar,ಶಿವಾಜಿನಗರ,162,162 - Shivajinagar,3,3 - Vasanth Nagar,ವಸಂತ ನಗರ,28272,14112,14209,3957,1956,2001,186,102,84,7,RO- Shivajinagar,24,ARO- Vasanthanagar,Zone2,Gandhinagara,"Backward Class ""A"" (Women)",5,1,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
Central,ಕೇಂದ್ರ,1,Shivajinagar,ಶಿವಾಜಿನಗರ,162,162 - Shivajinagar,4,4 - Sampangirama Nagar,ಸಂಪಂಗಿರಾಮ ನಗರ,27874,13872,14002,1810,884,926,224,92,132,7,RO- Shivajinagar,24,ARO- Vasanthanagar,Zone2,Gandhinagara,"Backward Class ""A"" (Women)",8,1,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
Central,ಕೇಂದ್ರ,1,Shivajinagar,ಶಿವಾಜಿನಗರ,162,162 - Shivajinagar,5,5 - Shivajinagar,ಶಿವಾಜಿನಗರ,25484,13018,12466,1300,619,681,127,74,53,7,RO- Shivajinagar,23,ARO- Shivajinagar,Zone2,Gandhinagara,General,0,3,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
Central,ಕೇಂದ್ರ,1,Shivajinagar,ಶಿವಾಜಿನಗರ,162,162 - Shivajinagar,6,6 - Bharathi Nagar,ಭಾರತಿ ನಗರ,24220,12305,11915,2102,1022,1080,108,52,56,7,RO- Shivajinagar,22,ARO- Halasuru,Zone2,Gandhinagara,General (Women),0,0,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
Central,ಕೇಂದ್ರ,1,Shivajinagar,ಶಿವಾಜಿನಗರ,162,162 - Shivajinagar,7,7 - K Kamaraj Ward,ಕೆ ಕಾಮರಾಜ್ ವಾರ್ಡ್,23193,11561,11632,1345,652,693,115,60,55,7,RO- Shivajinagar,22,ARO- Halasuru,Zone2,Gandhinagara,General (Women),2,1,1,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
Central,ಕೇಂದ್ರ,1,Shivajinagar,ಶಿವಾಜಿನಗರ,162,162 - Shivajinagar,8,8 - Halasuru,ಹಲಸೂರು,24019,12372,11647,7838,3948,3890,190,114,76,7,RO- Shivajinagar,22,ARO- Halasuru,Zone2,Gandhinagara,Scheduled Caste (Women),0,0,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
Central,ಕೇಂದ್ರ,1,C.V. Raman Nagar,ಸಿ.ವಿ. ರಾಮನ್ ನಗರ,161,161 - C.V. Raman Nagar,9,9 - Hoysala Nagara Central,ಹೊಯ್ಸಳ ನಗರ ಕೇಂದ್ರ,27798,13720,14078,11211,5530,5681,384,193,190,1,RO- Indiranagar,1,ARO- Indiranagar,Zone1,C.V. Raman Nagar,Scheduled Caste,8,1,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
Central,ಕೇಂದ್ರ,1,C.V. Raman Nagar,ಸಿ.ವಿ. ರಾಮನ್ ನಗರ,161,161 - C.V. Raman Nagar,10,10 - Cox Town,ಕಾಕ್ಸ್ ಟೌನ್,21026,10550,10477,6341,3203,3137,177,90,87,1,RO- Indiranagar,1,ARO- Indiranagar,Zone1,C.V. Raman Nagar,General,0,0,1,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
